1,-1,1705,396,142,332,0.7684972882270813,-1,-1,-1
1,-1,258,459,93,252,0.7537702918052673,-1,-1,-1
1,-1,0,340,117,561,0.7402088046073914,-1,-1,-1
1,-1,111,502,90,240,0.6449870467185974,-1,-1,-1
1,-1,1249,537,57,116,0.5644124746322632,-1,-1,-1
1,-1,1289,458,62,192,0.5143734812736511,-1,-1,-1
1,-1,1883,388,37,191,0.364740252494812,-1,-1,-1
1,-1,860,524,42,102,0.3532511591911316,-1,-1,-1
2,-1,264,458,92,251,0.7920756936073303,-1,-1,-1
2,-1,0,321,95,582,0.7766544222831726,-1,-1,-1
2,-1,1692,388,151,341,0.7153110504150391,-1,-1,-1
2,-1,112,513,84,231,0.6724514365196228,-1,-1,-1
2,-1,1880,388,40,196,0.6172297596931458,-1,-1,-1
2,-1,1294,455,73,199,0.5624220371246338,-1,-1,-1
2,-1,1251,535,57,119,0.5450699329376221,-1,-1,-1
3,-1,0,318,123,586,0.8102858662605286,-1,-1,-1
3,-1,267,459,88,249,0.7742552161216736,-1,-1,-1
3,-1,1689,391,142,342,0.7238940000534058,-1,-1,-1
3,-1,111,519,84,227,0.7070758938789368,-1,-1,-1
3,-1,1880,387,40,196,0.633716344833374,-1,-1,-1
3,-1,1298,455,70,198,0.5704822540283203,-1,-1,-1
3,-1,1257,545,54,109,0.4471432864665985,-1,-1,-1
4,-1,0,295,125,623,0.8262513875961304,-1,-1,-1
4,-1,266,460,90,249,0.7699472308158875,-1,-1,-1
4,-1,1691,391,145,342,0.7104488611221313,-1,-1,-1
4,-1,112,514,87,231,0.7081812620162964,-1,-1,-1
4,-1,1880,385,40,199,0.6178531050682068,-1,-1,-1
4,-1,1304,463,62,188,0.4859575629234314,-1,-1,-1
4,-1,1258,555,52,99,0.4258597791194916,-1,-1,-1
4,-1,1333,480,45,155,0.3513537347316742,-1,-1,-1
5,-1,0,248,142,673,0.8217670321464539,-1,-1,-1
5,-1,1692,386,149,349,0.7892677187919617,-1,-1,-1
5,-1,268,460,88,249,0.7837299704551697,-1,-1,-1
5,-1,1882,377,37,211,0.6347317099571228,-1,-1,-1
5,-1,112,520,84,224,0.6273999810218811,-1,-1,-1
5,-1,1303,471,63,183,0.5668012499809265,-1,-1,-1
5,-1,1264,556,48,99,0.5551697015762329,-1,-1,-1
5,-1,1334,478,45,162,0.36909183859825134,-1,-1,-1
6,-1,1,247,155,671,0.8835911750793457,-1,-1,-1
6,-1,272,460,85,246,0.7830831408500671,-1,-1,-1
6,-1,1692,390,143,349,0.7811568379402161,-1,-1,-1
6,-1,1880,376,39,213,0.6471127867698669,-1,-1,-1
